Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
D51A|IRISDMC|TA|47.090401|-79.373299|8.007590620910412|45.924992067348356|282|Lot 18 Range III Mazenod Township, QC, CAN
M57A|IRISDMC|TA|41.3372|-77.127998|8.012039294010595|89.84056907706626|319|Sunshine Farm, Cogan Station, PA, USA
Y49A|IRISDMC|TA|33.8577|-86.411903|8.033464300685807|171.5670717504559|362|Blount Mountain, AL, USA
W54A|IRISDMC|TA|35.085701|-82.185898|8.043852682652991|144.91912933528778|272|Cherokee Point, Campobello, SC, USA
W39A|IRISDMC|TA|35.195999|-93.783997|8.090210632634006|-142.9351292141141|162|Magazine, AR, USA
X53A|IRISDMC|TA|34.503101|-83.3013|8.12704794217869|152.62026872242504|240|Estanollee, GA, USA
L57A|IRISDMC|TA|42.0005|-76.849197|8.165885114779826|85.02062583788367|546|Andrews Acres Farm, Gillet, PA, USA
T57A|IRISDMC|TA|36.998299|-79.253799|8.182074326738046|123.23126854275407|230|Hurt, VA, USA
J56A|IRISDMC|TA|43.276001|-76.857903|8.20576889269953|76.05774514445605|93|Wolcott, NY, USA
Y51A|IRISDMC|TA|33.8993|-85.064003|8.207855231674813|163.72988393480568|380|Rockmart, GA, USA
H55A|IRISDMC|TA|44.550499|-77.182999|8.221792600205482|66.9789235477275|182|Tweed, ON, CAN
Q58A|IRISDMC|TA|38.941299|-77.681999|8.237833879795119|107.04619689458636|182|Fox Den Farm, The Plains, VA, USA
V56A|IRISDMC|TA|35.8097|-80.4963|8.280161164454261|134.0752118527706|237|Mocksville, NC, USA
R58A|IRISDMC|TA|38.298901|-78.003403|8.292550150976403|111.83043554322019|184|Rapidan, VA, USA
P58A|IRISDMC|TA|39.489101|-77.300499|8.310783782898062|102.74973992497077|139|Pank, Wackersville, MD, USA
X40A|IRISDMC|TA|34.487301|-92.834198|8.313815920453765|-150.15685253405374|158|Basin Creek Farm, Marlvern, AR, USA
KMSC|IRISDMC|TA|35.141998|-81.333298|8.381491844638681|140.62702882930068|240|Kings Mountain, Blacksburg, SC, USA
N58A|IRISDMC|TA|40.8396|-76.715797|8.394017483338727|92.96212246392476|200|Sunbury, PA, USA
O58A|IRISDMC|TA|40.1231|-76.922798|8.398337131063757|97.98764772942877|321|Lewisberry, PA, USA
K57A|IRISDMC|TA|42.7313|-76.516296|8.412493253749714|79.95093107921974|408|Scipio Center, NY, USA
X54A|IRISDMC|TA|34.547401|-82.374298|8.431248067370468|147.74333191576278|213|Belton, SC, USA
D52A|IRISDMC|TA|46.976398|-78.411697|8.469846433425209|49.26522024118656|359|ZEK Kipawa Senerzegues Township, QC, CAN
Y52A|IRISDMC|TA|33.863998|-84.062599|8.48454017991911|158.32082200747132|286|Lilburn, GA, USA
U57A|IRISDMC|TA|36.4319|-79.336403|8.497869840083727|126.5059423924545|178|Blanch, NC, USA
M58A|IRISDMC|TA|41.372101|-76.460297|8.505510258143026|89.18336972247786|529|Price's Panorama, Muncy Valley, PA, USA
SUSD|IRISDMC|TA|44.442902|-98.955597|8.529428800234854|-68.30515986495874|520|Miller, SD, USA
R58B|IRISDMC|TA|37.9636|-77.8787|8.54106390451067|113.50816262688443|116|Mineral, VA, USA
