Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
L44A|IRISDMC|NW|42.1782|-87.9119|0.3030222030039307|-91.29990735679486|202|Ryerson Woods, Lake Cnty Forest Preserve, IL, USA
HQIL|IRISDMC|NW|41.79982|-87.853432|0.46559175106429285|-145.87960980003396|193|Hanson (Federal McCook) Quary, Illinois, U.S.A.
K43A|IRISDMC|N4|42.7044|-88.332|0.8019156372879276|-49.42796523698979|264|Burlington, WI, USA
M44A|IRISDMC|N4|41.3882|-88.0432|0.8934955510830731|-153.0301893197597|207|Midewin, Midewin Nat. Tallgrass Prarie, IL, USA
L46A|IRISDMC|N4|42.0127|-86.2955|0.9125793678189082|100.52892608346944|223|Eau Claire, MI, USA
L42A|IRISDMC|N4|42.004|-89.667|1.6159048592723966|-95.73354233147933|257|Oliver, Polo, IL, USA
NHBP|IRISDMC|LM|42.097477|-85.266003|1.6610833421837494|92.29692920322314|226|Nengshka Wabeno, Nottawaseppi Huron Band of the Potawatomi
SFIN|IRISDMC|N4|40.379|-87.0967|1.8324211462419302|170.27169163781622|165|Lafayette, IN, USA
N47A|IRISDMC|N4|40.8801|-85.6942|1.8809828974789844|133.35482589954128|252|Urbana, IN, USA
I42A|IRISDMC|N4|43.8908|-88.9134|1.9922936820289303|-30.67662420644695|298|Draeger Farm, Ripon, WI, USA
I45A|IRISDMC|N4|44.0361|-86.2348|2.0689641440392004|26.15208753198966|215|Fountain, MI, USA
HDIL|IRISDMC|US|40.5559|-89.294|2.1124338482270195|-139.89667441455097|219.4|Hopedale, Illinois, USA
JFWS|IRISDMC|US|42.9142|-90.2481|2.1492641453821126|-69.26632733266506|335|Near Bowden and Sunny Slope Rds, Wisconsin, USA
LLSO|IRISDMC|OH|41.682716|-84.644051|2.185451516645574|102.34978165487507|284.4|Lake La Su An Wildlife Area
J47A|IRISDMC|N4|43.2382|-84.8214|2.2337106621132126|60.98862766752924|236|Sumner, MI, USA
H43A|IRISDMC|N4|44.4697|-87.7704|2.292158285406388|-4.7748717585998035|274|Windswept, Luxemburg, WI, USA
CHIPP|IRISDMC|LM|43.7805|-85.2219|2.3080758412090714|45.5280178074989|343|Mackey Preserve
NE8K|IRISDMC|LM|42.80737|-84.42187|2.355182302669502|73.6611881146898|262|Bath,MI
OXOH|IRISDMC|OH|41.34595|-84.4344|2.4378995600036344|109.12279962221021|215|Oxbow Lake Wildlife Area
P46A|IRISDMC|N4|39.6178|-87.2067|2.5777481581380304|174.91672890759946|194|Rosedale, IN, USA
O48B|IRISDMC|N4|40.2571|-85.1553|2.614816994582207|136.7433322703175|300|Farmland, IN, USA
L40A|IRISDMC|N4|42.0628|-91.2218|2.7606497503924348|-91.30516010341424|242|Anamosa, IA, USA
MWLO|IRISDMC|OH|40.503165|-84.568906|2.7716762854070662|126.39779655776272|266|Mercer Wildlife Area 
JAOH|IRISDMC|OH|40.7599|-84.3257|2.7747878241343167|119.85933194190426|231|Johnny Appleseed Metropark
N49A|IRISDMC|N4|40.922|-84.1825|2.7875390446815884|115.84890650197384|225|Columbus Grove, OH, USA
I40B|IRISDMC|N4|43.8916|-90.6177|2.844283648948926|-52.09942778049069|419|Norwalk, WI, USA
BCOH|IRISDMC|OH|41.5019|-83.7927|2.847206443775615|102.65443724160622|198|Blue Creek Metro Park
AAM|IRISDMC|US|42.3012|-83.6567|2.8495626510653773|86.38690087347535|172|Ann Arbor, Michigan, USA
N41A|IRISDMC|N4|40.7077|-90.8552|2.914818940507583|-119.34933832776515|226|Harden Midland Farm, Stronghurst, IL, ISA
P43A|IRISDMC|N4|39.6409|-89.5213|2.966693114620128|-148.40002520650916|176|Skaggs, Pawnee, IL, USA
VLOH|IRISDMC|OH|40.322809|-84.243146|3.078101546322574|126.15670990032244|304|Vernon Luthman Wildlife Area
BLO|IRISDMC|NM|39.1719|-86.5222|3.1042792074873677|165.813718962902|246|Bloomington, IN
O49A|IRISDMC|N4|40.188|-84.3353|3.109987859325146|128.91144329135378|292|Covington, OH, USA
P48A|IRISDMC|N4|39.4605|-85.4258|3.145899695638702|149.33930278219242|300|Milroy, IN, USA
ILOH|IRISDMC|OH|40.48677|-83.8531|3.2240640219786347|120.58152903490341|308|Indian Lake State Park
KLOH|IRISDMC|OH|40.195247|-83.966073|3.323192289115988|125.61583900453942|350.5|Kiser Lake State Park
GLMI|IRISDMC|US|44.8245|-84.6175|3.367479863574963|37.43545362196954|387|Grayling, Michigan, USA
SSPO|IRISDMC|OH|39.803383|-84.334171|3.3754082382982977|133.8380537117469|286|Sycamore State Park
M50A|IRISDMC|N4|41.4035|-83.0428|3.4156565390862474|101.74509602476577|176|Fremont, OH, USA
KPOH|IRISDMC|OH|41.19768|-83.11635|3.421053518104071|105.31859481630221|296|Knobbys Prarie Wildlife Area
KDOH|IRISDMC|OH|40.719081|-83.369445|3.4273187439422106|113.95446639377609|275|Killdeer Plains Wildlife Area
Q44B|IRISDMC|N4|38.9033|-89.0169|3.4780589398776676|-160.1914914541272|168|Vandalia, IL, USA
OLIL|IRISDMC|NM|38.7338|-88.0991|3.4816294138955137|-172.3215176537406|150|Olney Central College  Olney, IL
F42A|IRISDMC|N4|45.7587|-88.1347|3.601662508828122|-7.0321351762954984|358|Maple Grove Farm, Niagara, WI, USA
KIOH|IRISDMC|OH|41.604221|-82.697021|3.623950188380426|97.62298316541433|182.5|Kelley's Island State Park
K50A|IRISDMC|N4|42.7749|-82.6231|3.6463930366035338|79.06130036591995|191|Casco, MI, USA
G40A|IRISDMC|N4|45.2684|-90.2006|3.646712390223537|-31.382933514571487|472|Rib Lake, WI, USA
SLOH|IRISDMC|OH|39.122112|-84.792839|3.6892293715378566|145.24151804483375|220|Shawnee Lookout Great Parks of Hamilton County
SVWO|IRISDMC|OH|39.58466|-84.002617|3.7100872998993806|133.34788794773777|268.9|Spring Valley Wildlife Area
BGOH|IRISDMC|OH|41.396541|-82.598746|3.7402107112443863|100.53813229346002|186|Bowling Green Firelands Campus
I49A|IRISDMC|N4|43.94|-82.8246|3.841161559096925|61.24886138719589|217|Point Hope, MI, USA
ACSO|IRISDMC|US|40.2319|-82.982|3.9217527523223716|118.37167150486725|288|Alum Creek State Park, Ohio, USA
SLSO|IRISDMC|OH|39.221713|-84.055974|3.9508276372505344|137.46319828151977|272|Stonelick State Park
N51A|IRISDMC|N4|40.9183|-82.3748|4.040887976693559|106.5635045056831|343|Ashland, OH, USA
WCI|IRISDMC|IU|38.2289|-86.2939|4.063101973707077|166.46962222739688|210|Wyandotte Cave, Indiana, USA
CROH|IRISDMC|OH|41.293858|-82.152496|4.0901479079504375|100.80252767387908|242.199997|Carlisle Reservation (Lorain County Metroparks)
SLM|IRISDMC|NM|38.6361|-90.2364|4.114232752817809|-148.7218696299421|186|St. Louis, MO
MFOH|IRISDMC|OH|40.654884|-82.381572|4.133522782783297|110.0247147815703|374|Malabar Farms State Park
USIN|IRISDMC|NM|37.965|-87.666|4.222637621866732|-178.25554840919094|170.7|Univ. of Southern Indiana, Evansville, IN
ROKO|IRISDMC|OH|41.40217|-81.8905|4.256355253649504|98.727510031051|234.4|Rocky River Reservation
R49A|IRISDMC|N4|38.2916|-85.1714|4.281227379598887|154.67546561241124|251|Shelbyville, KY, USA
P51A|IRISDMC|OH|39.4818|-83.060097|4.313104769671076|127.34230277330494|211|Williamsport, OH, USA
P40B|IRISDMC|N4|39.5298|-92.0483|4.343106127041986|-126.18548286521128|320|Paris, MO, USA
HINO|IRISDMC|OH|41.222347|-81.698906|4.438201111752399|100.59268009177418|375|Hinckley Reservation
Q51A|IRISDMC|N4|39.026|-83.3456|4.465109108365062|133.66089596843747|362|Peebles, OH, USA
CPOH|IRISDMC|OH|38.8401|-83.5776|4.48227501693701|136.97567016889542|289|Chapparal Prarie Wildlife Area
N38B|IRISDMC|N4|40.7931|-93.235|4.512777092194129|-106.0570640199288|322|Corydon, IA, USA
CHOH|IRISDMC|OH|41.661846|-81.414513|4.559314814095999|94.55624779762766|183.899994|Chagrin River Park
R50A|IRISDMC|N4|38.2816|-84.3274|4.594846312900321|147.12317059483647|255|Paris, KY, USA
M52A|IRISDMC|N4|41.5405|-81.357|4.621465409310731|95.96508816085395|382|Chesterland, OH, USA
BASO|IRISDMC|WU|44.01328|-81.66485|4.636710553335164|64.81860134134094|210|Z
ELFO|IRISDMC|WU|43.19304|-81.3163|4.656560731623501|75.42445511147136|298|Z
SIUC|IRISDMC|NM|37.7148|-89.2174|4.65984430167068|-163.06413926972098|120|Carbondale, IL
I37B|IRISDMC|N4|44.0149|-93.4003|4.676849930129733|-64.98784431498136|354|Waseca, MN, USA
S44A|IRISDMC|N4|37.6936|-89.2551|4.688429692867996|-162.78376565709718|155|Carbondale, IL, USA
LEBO|IRISDMC|OH|41.7859|-81.1801|4.7158350814485965|92.74235786443772|188|Lake Erie Bluffs Metropark
O52A|IRISDMC|N4|40.1158|-81.8361|4.741352811849105|113.99283859773782|331|Adamsville, OH, USA
FVM|IRISDMC|NM|37.9812|-90.4273|4.762017863185033|-151.02924692397207|137|French Village, MO
E46A|IRISDMC|N4|46.3665|-84.3062|4.765272376168775|27.595463788243517|269|Sault Ste Marie, MI, USA
SSF2|IRISDMC|OH|38.6886|-83.1276|4.827823869700715|134.96217873776163|324|Shawnee State Forest
HROH|IRISDMC|OH|41.7506|-81.0133|4.843667546563513|92.97695140509848|253|Hogback Ridge Metropark
WODO|IRISDMC|OH|39.529552|-82.126205|4.8558473933418895|121.36954187580392|305.6|Wallace ODowd Wildlife Area
BRCO|IRISDMC|WU|44.24364|-81.44212|4.8713610569800245|62.96579638850985|273|Z
BROH|IRISDMC|OH|39.8137|-81.8423|4.885109115865232|117.16070893186043|257|Blue Rock State Park
SPMN|IRISDMC|N4|45.2246|-92.8037|4.888693925769188|-49.77473177346555|311|Marine on St. Croix, MN, USA
FOXO|IRISDMC|OH|39.304695|-82.187988|4.949762398581001|123.82470343573392|261.2|Fox Lake Wildlife Area
RBOH|IRISDMC|OH|41.884476|-80.845932|4.952415131977055|91.2532743173586|201|Red Brook Metropark
CHWO|IRISDMC|OH|38.93602|-82.526105|4.984146200798156|129.0374025750417|231|Cooper Hollow Wildlife
CCM|IRISDMC|IU|38.0557|-91.2446|5.023066767507481|-144.06626494857903|222|Cathedral Cave, Missouri, USA
BWLO|IRISDMC|WU|44.11738|-81.13827|5.027399233883257|65.25746203517046|255|Z
VRWO|IRISDMC|OH|40.6035|-81.1325|5.03268045873687|106.19339730345632|356|Valley Run Wildlife Area
DSFO|IRISDMC|OH|38.690952|-82.616898|5.10167400860307|131.61322850155656|296.4|Dean State Forest
O53A|IRISDMC|OH|40.249298|-81.212898|5.110872026923876|110.16295124595067|320|New Philadelphia, OH, USA
Q52A|IRISDMC|N4|38.9622|-82.2669|5.11781587215313|127.29770024995733|228|Bidwell, OH, USA
M53A|IRISDMC|OH|41.439301|-80.675003|5.142197044251843|96.05735506449544|334|WI Miller and Sons, Farmdale, OH, USA
CGM3|IRISDMC|NM|37.29775|-89.6582|5.160799780462676|-160.57557834453075|148|Cape Girardeau, MO
BMRO|IRISDMC|WU|44.59515|-81.21748|5.16212786120398|60.05423608108161|217|Z
N53A|IRISDMC|N4|40.8065|-80.8377|5.17783860294349|103.21779886775032|360|Lisbon, OH, USA
T47A|IRISDMC|N4|36.9881|-87.1055|5.206705097966669|176.49823153270148|217|Sharon Grove, KY, USA
P38B|IRISDMC|N4|39.6248|-93.5321|5.225184222101636|-117.33731855499309|248|Dawn, MO, USA
T45B|IRISDMC|N4|37.0159|-88.6459|5.244195334914333|-169.9660555374224|136|Paducah, KY, USA
E38A|IRISDMC|N4|46.6058|-91.554|5.281714653575255|-31.818112325519493|341|The Farm, Brule, WI, USA
TOBO|IRISDMC|WU|45.225804|-81.523445|5.282295877171311|52.84256562021882|162|Z
SROH|IRISDMC|OH|39.127095|-81.789765|5.302918024891355|123.32217553912403|263|Shade River State Forest
PSSH|IRISDMC|PE|41.235001|-80.507599|5.306498647078893|97.97697777739155|265|PSU Shenango Campus, Sharon, PA
R40B|IRISDMC|N4|38.2909|-92.2684|5.32762310965347|-135.39342255104583|218|Maddies Station, St. Elizabeth, MO, USA
BSPO|IRISDMC|OH|40.04307|-81.009361|5.339130064246241|111.49169531363692|363|Barkcamp State Park
P53A|IRISDMC|N4|39.4868|-81.3896|5.35322578424496|118.23809428499288|270|Whipple, OH, USA
S51A|IRISDMC|N4|37.6392|-83.5935|5.445004701858307|145.32005920351497|286|Beattyville, KY, USA
T50A|IRISDMC|N4|37.0204|-84.8384|5.557654550477313|157.46314332602682|302|Nancy, KY, USA
ERPA|IRISDMC|US|42.1175|-79.9891|5.569281282141555|88.17814941044196|306.3|Erie, Pennsylvania, USA
PSBV|IRISDMC|PE|40.679951|-80.297501|5.606209212506145|103.1694325033726|307|PSU Beaver Campus, Monaca, PA
ACTO|IRISDMC|WU|43.60869|-80.0623|5.6313954685275895|72.85575267540969|365|Z
HENM|IRISDMC|NM|36.716|-89.472|5.676678747539614|-163.83343627986224|88|Henderson Mound,MO
PAMR|IRISDMC|PE|40.9398|-80.097298|5.677580156995546|100.1966891050376|393|Moraine State Park, Slippery Rock, PA
TYNO|IRISDMC|WU|43.09489|-79.86992|5.686148294314402|78.22957400223183|205|Z
CLWO|IRISDMC|WU|44.449|-80.3014|5.704947514213298|64.19518636425579|475|Z
O54A|IRISDMC|N4|40.1821|-80.3778|5.722363178057228|108.11505380574822|357|Avella, PA, USA
PARM|IRISDMC|NM|36.664|-89.752|5.787990786317544|-161.81277874382687|85|Stahl Farm,MO
PARS|IRISDMC|PE|39.886318|-80.445221|5.79671017128753|111.01419345760029|305|Ryerson Station State Park, Wind Ridge, PA
HICK|IRISDMC|NM|36.54078|-89.22841|5.800099580767916|-166.15102466788377|141|Hickman,KY
CATM|IRISDMC|NM|36.613|-89.647|5.813261137816725|-162.7546385818473|82|Carton,MO
U49A|IRISDMC|N4|36.5129|-85.7796|5.826975517145361|166.22562208895266|234|Red Boiling Springs, TN, USA
PBMO|IRISDMC|NM|36.7785|-90.4297|5.85911190135325|-156.38444207981362|143.9|Three Rivers Community College, Poplar Bluff, MO
