Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
POHA|IRISDMC|IU|19.7573|-155.5326|0.9369810322982478|-0.31268282817470466|1990|Pohakuloa, Hawaii, USA
KIP|IRISDMC|IU|21.42|-158.0112|3.492439993715718|-41.47818403401596|110|Kipapa, Hawaii, USA
JOHN|IRISDMC|IU|16.7329|-169.5292|13.491876833641465|-96.70613656011444|2|Johnston Island, USA
XMAS|IRISDMC|IU|2.0448|-157.4457|16.88047692016006|-173.38368499393485|20|Kiritimati Island, Republic of Kiribati
MIDW|IRISDMC|IU|28.2154|-177.3697|22.072566721851636|-60.74399931624154|9|Midway Island, USA
TARA|IRISDMC|IU|1.3549|172.9229|35.508951865696744|-115.76306270848542|20|Tarawa Island, Republic of Kiribati
WAKE|IRISDMC|IU|19.2834|166.652|35.68009999908826|-82.90430754098642|8|Wake Island
CMB|NCEDC|BK|38.03455|-120.386513|36.05854994277561|50.372642926529444|697|Columbia College, Columbia, CA, USA
AFI|IRISDMC|IU|-13.90853|-171.78265|36.43719449200156|-152.77565005146042|706|Afiamalu, Samoa
PASC|SCEDC|CI|34.17141|-118.18523|36.50506668497331|57.52229175416808|341|Art Center College of Design (GSN-affiliate)
KWJN|IRISDMC|II|9.2873|167.5369|36.99210979844629|-99.73288612880827|0|Gagan, Kwajalein Atoll, Marshall Islands
ADK|IRISDMC|IU|51.8823|-176.6842|36.99407404932778|-21.731053065691782|130|Adak, Aleutian Islands, Alaska
FUNA|IRISDMC|IU|-8.5259|179.1966|37.00082662735478|-135.44145509174015|20|Funafuti, Tuvalu
COR|IRISDMC|IU|44.5855|-123.3046|37.1785181919189|38.93356716822256|110|Corvallis, Oregon, USA
PFO|IRISDMC|II|33.6107|-116.4544|37.76194494599554|59.003073506023654|1280|Pinon Flat, California, USA
NV31|IRISDMC|IM|38.4328|-118.155403|37.83563211357712|50.818334081028254|1509|NVAR Array Site 31, Mina, NV, USA
KDAK|IRISDMC|II|57.7828|-152.5835|39.02309802795587|2.492183318535861|152|Kodiak Island, Alaska, USA
RAR|IRISDMC|IU|-21.2125|-159.7733|40.24809602618324|-173.86722853770385|28|Rarotonga, Cook Islands
TUC|IRISDMC|IU|32.3098|-110.7847|42.21403622426922|62.306551672036896|910|Tucson, Arizona
SLBS|IRISDMC|IU|23.6858|-109.9443|42.587080088811774|75.14587584810322|825|Sierra la Laguna Baja California Sur, Mexico
MSVF|IRISDMC|II|-17.7448|178.0528|44.844447406283585|-143.06217203096074|801.1|Monasavu, Fiji
PD31|IRISDMC|IM|42.7672|-109.558098|45.41073689474338|47.82824882206144|2219|PDAR Array, Pinedale, WY, USA
ANMO|IRISDMC|IU|34.94591|-106.4572|46.12502940766623|59.21581852371061|1820|Albuquerque, New Mexico, USA
IL31|IRISDMC|IM|64.7714|-146.886597|46.31497003671786|5.0802155621690135|419|ILAR Array, Site 31, Eielson, AK, USA
COLA|IRISDMC|IU|64.873566|-147.861772|46.33836159969834|4.4903913235894795|200|College Outpost, Alaska, USA
TX32|IRISDMC|IM|29.334|-103.667702|48.11323644447857|67.07260874970558|995.5|Lajitas Array Site 32 (same as tx01 and TX00)
TX31|IRISDMC|IM|29.334299|-103.667702|48.11323851152364|67.07220712904467|991.4|TXAR Array, Lajitas, TX, USA
PET|IRISDMC|IU|53.0233|158.6499|49.12017347705516|-34.78847832061184|110|Petropavlovsk, Russia
RSSD|IRISDMC|IU|44.1212|-104.0359|49.6345597258473|47.49874919575104|2090|Black Hills, South Dakota, USA
PTCN|IRISDMC|IU|-25.0713|-130.0953|50.38900130780458|149.6747650493358|220|Pitcairn Island, South Pacific
HNR|IRISDMC|IU|-9.4387|159.9475|52.20900896704545|-118.91588860656125|100|Honiara, Solomon Islands
