Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
KBL|IRISDMC|IU|34.5408|69.0432|41.10203378893257|86.24434097834434|1920|Kabul, Afghanistan
MAKZ|IRISDMC|IU|46.808|81.977|44.20318600310866|63.49003746091339|600|Makanchi, Kazakhstan
SACV|IRISDMC|II|14.9702|-23.6085|45.21765125309579|-119.25662627758963|387|Santiago Island, Cape Verde
MBAR|IRISDMC|II|-0.6019|30.7382|47.77626152066916|160.26695509293842|1390|Mbarara, Uganda
WMQ|IRISDMC|IC|43.81411|87.70448|49.1327673588739|64.76989016196092|850|Urumqi, Xinjiang Province, China
ULN|IRISDMC|IU|47.8651|107.0532|58.553071725697265|51.84135811157356|1610|Ulaanbaatar, Mongolia
HIA|IRISDMC|IC|49.270115|119.741363|64.34027607739306|44.7431819323899|625|Hailar, Neimenggu Autonomous Region, China
PALK|IRISDMC|II|7.2728|80.7022|67.01378097380739|103.56807874625932|460|Pallekele, Sri Lanka
RCBR|IRISDMC|IU|-5.8274|-35.9014|69.14486163608267|-122.78359837195075|400|Riachuelo, Brazil
CHTO|IRISDMC|IU|18.81401|98.94447|71.68165532691575|81.48854574651739|481|Chiang Mai, Thailand
WVT|IRISDMC|IU|36.1297|-87.83|73.619270917402|-54.73946178634772|170|Waverly, Tennessee, USA
RSSD|IRISDMC|IU|44.1212|-104.0359|76.00958870214217|-39.7017710080981|2090|Black Hills, South Dakota, USA
QIZ|IRISDMC|IC|19.02928|109.84398|79.00289954752306|73.97700840986114|240|Qiongzhong, Hainan Province, China
