Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
PALK|IRISDMC|II|7.2728|80.7022|17.14987351398781|-71.8814295626522|460|Pallekele, Sri Lanka
TATO|IRISDMC|IU|24.9735|121.4971|32.80345069683254|43.69389620318006|160|Taipei, Taiwan
NWAO|IRISDMC|IU|-32.9277|117.239|39.85284011373695|153.21211151593207|380|Narrogin, Australia
WRAB|IRISDMC|II|-19.9336|134.36|42.66146240416765|122.89872787221957|366|Tennant Creek, NT, Australia
AAK|IRISDMC|II|42.6375|74.4942|45.3000747383771|-23.456180004729152|1633.1|Ala Archa, Kyrgyzstan
KURK|IRISDMC|II|50.7154|78.6202|51.06857554272189|-14.961824331562614|184|Kurchatov, Kazakhstan
PMG|IRISDMC|IU|-9.4047|147.1597|51.161211534837406|103.85119302606674|90|Port Moresby, New Guinea
MAJO|IRISDMC|IU|36.54567|138.20406|51.18114183732071|42.66524195640284|405|Matsushiro, Japan
CTAO|IRISDMC|IU|-20.0882|146.2545|53.02825985073097|117.24204272155912|357|Charters Towers, Australia
KIV|IRISDMC|II|43.9553|42.6863|63.647263886787805|-40.801366990750964|1054|Kislovodsk, Russia
TAU|IRISDMC|II|-42.9099|147.3204|63.669966664389754|141.10365073717026|132|Hobart, Tasmania, Australia
YAK|IRISDMC|IU|62.031|129.6805|64.70414779890082|16.21423352759021|110|Yakutsk, Russia
MBAR|IRISDMC|II|-0.6019|30.7382|66.41708099425284|-91.57293487655342|1390|Mbarara, Uganda
OBN|IRISDMC|II|55.1146|36.5674|71.87705454078642|-31.601512826500883|160|Obninsk, Russia
MCQ|IRISDMC|AU|-54.4983|158.9403|75.86448932059581|148.1355315362406|14|Macquarie Island
MIDW|IRISDMC|IU|28.2154|-177.3697|85.05948145157673|61.855015800589314|9|Midway Island, USA
