Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
SJG|IRISDMC|IU|18.1091|-66.15|33.243438260983204|7.028307517517586|420|San Juan, Puerto Rico
TGUH|IRISDMC|CU|14.057|-87.273|33.51878546040864|-31.05315694035179|1160|Tegucigalpa, Honduras
ANWB|IRISDMC|CU|17.6684|-61.78562|33.60228249445749|14.586766840548485|9|North Barbuda Island
SDDR|IRISDMC|CU|18.982121|-71.287836|33.893344260232915|-1.8501397297897835|589|Presa de Sabenta, Dominican Republic
MTDJ|IRISDMC|CU|18.22605|-77.53454|33.900378264460464|-12.56201902184161|925|Mount Denham, Jamaica
RCBR|IRISDMC|IU|-5.8274|-35.9014|34.879418729410794|78.58990344894596|400|Riachuelo, Brazil
GTBY|IRISDMC|CU|19.9268|-75.1108|35.15467220423786|-8.03982209428308|79.2|Guantanamo Bay, Cuba
GRTK|IRISDMC|CU|21.511472|-71.13425|36.41728550752688|-1.46904335283527|13|Grand Turk, Turks and Caicos Islands
EFI|IRISDMC|II|-51.6753|-58.0637|38.04361059427531|167.78971079582578|110|Mount Kent, East Falkland Island
RPN|IRISDMC|II|-27.1267|-109.3344|38.34229947853398|-115.10509378421139|110|Rapanui, Easter Island, Chile
TEIG|IRISDMC|IU|20.22624|-88.27633|39.360330113251464|-27.33303336471711|32|Tepich, Yucatan, Mexico
DWPF|IRISDMC|IU|28.1103|-81.4327|44.35986954566123|-14.229900910028977|30|Disney Wilderness Preserve, Florida, USA
HOPE|IRISDMC|II|-54.2836|-36.4879|47.31267775845558|153.84824779664143|20|Hope Point, South Georgia Island
BBSR|IRISDMC|IU|32.371299|-64.696299|47.55799812841401|6.298449968790847|30|Bermuda Institute of Ocean Sciences, St George's Bermuda
PMSA|IRISDMC|IU|-64.7744|-64.0489|50.057454577385855|176.58701293095905|10|Palmer Station, Antarctica
HKT|IRISDMC|IU|29.96478|-95.83812|51.215258845449384|-28.74655323697993|69|Hockley1 Texas
WVT|IRISDMC|IU|36.1297|-87.83|53.67798730825878|-17.677941677282586|170|Waverly, Tennessee, USA
SLBS|IRISDMC|IU|23.6858|-109.9443|54.746844014129984|-45.810659227469706|825|Sierra la Laguna Baja California Sur, Mexico
TX32|IRISDMC|IM|29.334|-103.667702|54.77036214198091|-36.05776392698901|995.5|Lajitas Array Site 32 (same as tx01 and TX00)
TX31|IRISDMC|IM|29.334299|-103.667702|54.770588724224815|-36.057525089907784|991.4|TXAR Array, Lajitas, TX, USA
SACV|IRISDMC|II|14.9702|-23.6085|54.88582243123317|59.083241566892|387|Santiago Island, Cape Verde
ASCN|IRISDMC|II|-7.9327|-14.3601|55.0427280378269|89.3299565596824|173|Butt Crater, Ascension Island
WCI|IRISDMC|IU|38.2289|-86.2939|55.226466390277366|-15.376299645565574|210|Wyandotte Cave, Indiana, USA
TRIS|IRISDMC|IU|-37.0681|-12.3152|55.60413824388824|125.01538004438605|60|Tristan da Cunha
SSPA|IRISDMC|IU|40.6358|-77.8876|55.987210095442705|-7.037346233702549|270|Standing Stone, Pennsylvania
CCM|IRISDMC|IU|38.0557|-91.2446|56.513296964625084|-19.820660678791594|222|Cathedral Cave, Missouri, USA
PTCN|IRISDMC|IU|-25.0713|-130.0953|56.77450799156517|-110.48442809568625|220|Pitcairn Island, South Pacific
HRV|IRISDMC|IU|42.5064|-71.5583|57.414276069683915|-1.1910994758334381|200|Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA
ANMO|IRISDMC|IU|34.94591|-106.4572|60.55991868088236|-33.82771785319242|1820|Albuquerque, New Mexico, USA
TUC|IRISDMC|IU|32.3098|-110.7847|61.12618762092151|-38.89835507433271|910|Tucson, Arizona
SHEL|IRISDMC|II|-15.9594|-5.7455|61.87507395465523|100.39563330084295|537|Horse Pasture, St. Helena Island
PFO|IRISDMC|II|33.6107|-116.4544|65.53116687603463|-41.37950404888515|1280|Pinon Flat, California, USA
RSSD|IRISDMC|IU|44.1212|-104.0359|66.5911068215978|-25.823904829042068|2090|Black Hills, South Dakota, USA
PASC|SCEDC|CI|34.17141|-118.18523|66.99793255155615|-41.90021243290887|341|Art Center College of Design (GSN-affiliate)
CMLA|IRISDMC|II|37.7637|-25.5243|67.3012758775233|37.046100523929795|429|Cha de Macela, Sao Miguel Island, Azores
