Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
LVC|IRISDMC|IU|-22.6127|-68.9111|6.670780178957296|-51.780897608565226|2960|Limon Verde, Chile
LCO|IRISDMC|IU|-29.011|-70.7004|6.9367575898953575|-109.86076881081365|2300|Las Campanas Astronomical Observatory, Chile
TRQA|IRISDMC|IU|-38.0568|-61.9787|11.255361438879017|174.91631977669732|540|Tornquist, Argentina
SAML|IRISDMC|IU|-8.9489|-63.1831|17.902473498860086|0.17417281712692978|120|Samuel, Brazil
NNA|IRISDMC|II|-11.9875|-76.8422|19.601199307456472|-43.305467573468015|575|Nana, Peru
EFI|IRISDMC|II|-51.6753|-58.0637|25.129838938033096|172.43364324666726|110|Mount Kent, East Falkland Island
PTGA|IRISDMC|IU|-0.7308|-59.9666|26.30898014841596|7.395454439878334|237|Pitinga, Brazil
OTAV|IRISDMC|IU|0.2376|-78.45076|30.79163014312911|-30.83779172073324|3491|Otavalo, Ecuador
RCBR|IRISDMC|IU|-5.8274|-35.9014|33.455369739095225|55.96198008330586|400|Riachuelo, Brazil
HOPE|IRISDMC|II|-54.2836|-36.4879|33.714027800254414|151.74590295764506|20|Hope Point, South Georgia Island
SDV|IRISDMC|IU|8.8839|-70.634|36.448641909271906|-12.362416288767154|1620|Santo Domingo, Venezuela
PAYG|IRISDMC|IU|-0.6742|-90.2861|36.88381324766081|-49.25461716569135|270|Puerto Ayora, Galapagos Islands
PMSA|IRISDMC|IU|-64.7744|-64.0489|37.92665600216623|-179.43726790184004|10|Palmer Station, Antarctica
GRGR|IRISDMC|CU|12.13237|-61.65407|39.01398727629541|2.4592876014004754|191|Grenville, Grenada
BCIP|IRISDMC|CU|9.1665|-79.8373|39.454869880534474|-26.34843133224644|61|Isla Barro Colorado, Panama
BBGH|IRISDMC|CU|13.1434|-59.5588|40.15400393078652|5.5599496753529065|180|Gun Hill, Barbados
RPN|IRISDMC|II|-27.1267|-109.3344|40.83764854668756|-101.29190299006689|110|Rapanui, Easter Island, Chile
JTS|IRISDMC|II|10.2908|-84.9525|42.70589614025452|-32.462533019163175|340|Las Juntas de Abangares, Costa Rica
TRIS|IRISDMC|IU|-37.0681|-12.3152|43.861858002862036|116.62997637446416|60|Tristan da Cunha
ANWB|IRISDMC|CU|17.6684|-61.78562|44.54199126177336|1.972148921608553|9|North Barbuda Island
SJG|IRISDMC|IU|18.1091|-66.15|45.0491593815738|-3.9131438691979663|420|San Juan, Puerto Rico
SDDR|IRISDMC|CU|18.982121|-71.287836|46.493850308898644|-10.520508352200322|589|Presa de Sabenta, Dominican Republic
TGUH|IRISDMC|CU|14.057|-87.273|47.10040080028143|-32.64026085245493|1160|Tegucigalpa, Honduras
MTDJ|IRISDMC|CU|18.22605|-77.53454|47.1637881497112|-18.65522447284983|925|Mount Denham, Jamaica
GTBY|IRISDMC|CU|19.9268|-75.1108|48.173309639625444|-15.045377798370017|79.2|Guantanamo Bay, Cuba
GRTK|IRISDMC|CU|21.511472|-71.13425|48.96343475798315|-9.756390519437396|13|Grand Turk, Turks and Caicos Islands
ASCN|IRISDMC|II|-7.9327|-14.3601|49.94769511949294|77.08498472799772|173|Butt Crater, Ascension Island
TEIG|IRISDMC|IU|20.22624|-88.27633|52.962978819922284|-29.835483867859995|32|Tepich, Yucatan, Mexico
SHEL|IRISDMC|II|-15.9594|-5.7455|54.18378002855337|90.84273684191643|537|Horse Pasture, St. Helena Island
SACV|IRISDMC|II|14.9702|-23.6085|56.827972665029456|47.40279284154181|387|Santiago Island, Cape Verde
DWPF|IRISDMC|IU|28.1103|-81.4327|57.67128196091283|-19.02310726437492|30|Disney Wilderness Preserve, Florida, USA
BBSR|IRISDMC|IU|32.371299|-64.696299|59.238889133930236|-1.4340162265400758|30|Bermuda Institute of Ocean Sciences, St George's Bermuda
PTCN|IRISDMC|IU|-25.0713|-130.0953|59.40296589412675|-104.62036774203294|220|Pitcairn Island, South Pacific
QSPA|IRISDMC|IU|-89.9289|144.4382|63.2116704253228|-179.9630064197516|2850|South Pole Remote Earth Science Observatory (Quiet Zone)
HKT|IRISDMC|IU|29.9618|-95.8384|64.81213867949431|-31.05289332226106|-413|Hockley, Texas
WVT|IRISDMC|IU|36.1297|-87.83|67.11271056182204|-21.398614479663316|170|Waverly, Tennessee, USA
SLBS|IRISDMC|IU|23.6858|-109.9443|67.73993974803686|-46.0725226844946|825|Sierra la Laguna Baja California Sur, Mexico
TX32|IRISDMC|IM|29.334|-103.667702|68.23693094965299|-37.49979502864394|995.5|Lajitas Array Site 32 (same as tx01 and TX00)
TX31|IRISDMC|IM|29.334299|-103.667702|68.23716483268879|-37.49959445423212|991.4|TXAR Array, Lajitas, TX, USA
WCI|IRISDMC|IU|38.2289|-86.2939|68.5699941666383|-19.299142476313666|210|Wyandotte Cave, Indiana, USA
SSPA|IRISDMC|IU|40.6358|-77.8876|68.8458113491986|-11.876298904714652|270|Standing Stone, Pennsylvania
HRV|IRISDMC|IU|42.5064|-71.5583|69.78104248507732|-6.5282407531770135|200|Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA
CCM|IRISDMC|IU|38.0557|-91.2446|70.01246237657419|-23.169653508150837|222|Cathedral Cave, Missouri, USA
MACI|IRISDMC|IU|28.2502|-16.508199|71.03961531410073|42.702371804244116|1674|Morro de la Arena, Canary Islands
SBA|IRISDMC|IU|-77.8492|166.7572|71.28663469686227|-170.1989725050901|50|Scott Base, Antarctica
SUR|IRISDMC|II|-32.3797|20.8117|71.3369086534565|117.55263689221526|1770|Sutherland, South Africa
VNDA|IRISDMC|GT|-77.517275|161.852758|72.25056626713803|-170.75080560703196|121.1|Dry Valley, Vanda, Antarctica
TSUM|IRISDMC|IU|-19.20227|17.58376|73.56308766395686|103.59187987531469|1229|Tsumeb, Namibia
CMLA|IRISDMC|II|37.7637|-25.5243|73.65926648216868|30.2607930846023|429|Cha de Macela, Sao Miguel Island, Azores
ANMO|IRISDMC|IU|34.94591|-106.4572|74.08503628407091|-35.71116458376904|1820|Albuquerque, New Mexico, USA
TUC|IRISDMC|IU|32.3098|-110.7847|74.4817062191728|-40.33010602514599|910|Tucson, Arizona
LBTB|IRISDMC|GT|-25.0151|25.59665|78.02719207451274|112.15665386216695|1128|Lobatse, Botswana, Africa
PFO|IRISDMC|II|33.6107|-116.4555|78.76250722174127|-42.84833616107736|1280|Pinon Flat, California, USA
RSSD|IRISDMC|IU|44.1212|-104.0359|80.1892183856761|-28.425673387906418|2090|Black Hills, South Dakota, USA
PASC|SCEDC|CI|34.17141|-118.18523|80.19793633448157|-43.419658304707816|341|Art Center College of Design (GSN-affiliate)
PD31|IRISDMC|IM|42.7672|-109.558098|81.6259151785158|-32.45583665560614|2219|PDAR Array, Pinedale, WY, USA
NV31|IRISDMC|IM|38.4328|-118.155403|83.05489593938776|-40.223295705513365|1509|NVAR Array Site 31, Mina, NV, USA
CMB|NCEDC|BK|38.03455|-120.386513|84.09399236653644|-41.698884905616|697|Columbia College, Columbia, CA, USA
LSZ|IRISDMC|IU|-15.2779|28.1882|84.39862964004519|104.30656286557411|1200|Lusaka, Zambia
RAR|IRISDMC|IU|-21.2125|-159.7733|86.05750309976506|-111.81589689024098|28|Rarotonga, Cook Islands
PAB|IRISDMC|IU|39.5446|-4.3499|86.1051762907456|41.432197061934204|950|San Pablo, Spain
CASY|IRISDMC|IU|-66.2792|110.5354|86.74797225906181|177.4949793033572|10|Casey, Antarctica
FFC|IRISDMC|II|54.725|-101.9783|88.10136453709792|-21.198458466541357|338|Flin Flon, Canada
COR|IRISDMC|IU|44.5855|-123.3046|90.0002099460042|-38.112268740120186|110|Corvallis, Oregon, USA
MCQ|IRISDMC|AU|-54.4983|158.9403|90.93099832386324|-157.04739107306688|14|Macquarie Island
MBAR|IRISDMC|II|-0.6019|30.7382|93.27374967114545|92.33555206611163|1390|Mbarara, Uganda
SNZO|IRISDMC|IU|-41.3087|174.7043|93.29970138596146|-140.3813877936002|120|South Karori, New Zealand
SFJD|IRISDMC|IU|66.9961|-50.62076|94.33099483464179|4.910732985634177|330|Sondre Stromfjord, Greenland
XMAS|IRISDMC|IU|2.0448|-157.4457|94.67747997562623|-90.07421872578105|20|Kiritimati Island, Republic of Kiribati
RAO|IRISDMC|IU|-29.245|-177.929|95.99993114163716|-127.14328932440995|60|Raoul, Kermadec Islands
ESK|IRISDMC|II|55.3167|-3.205|96.76644997240903|29.763498769529814|242|Eskdalemuir, Scotland, UK
BORG|IRISDMC|II|64.7474|-21.3268|97.19600253107345|16.691859225318858|110|Borgarfjordur, Asbjarnarstadir, Iceland
ABPO|IRISDMC|II|-19.018|47.229|98.4961882231911|116.4185279127815|1528|Ambohimpanompo, Madagascar
BFO|IRISDMC|II|48.3301|8.3296|98.61779359959489|39.637622922730465|638|Black Forest Observatory, Schiltach, Germany
KMBO|IRISDMC|IU|-1.1271|37.2525|98.8306803198208|95.79461746969511|1950|Kilima Mbogo, Kenya
AFI|IRISDMC|IU|-13.90853|-171.78265|99.60603723060738|-111.03480115289345|706|Afiamalu, Samoa
POHA|IRISDMC|IU|19.7573|-155.5326|100.73760649915585|-73.16378940249005|1990|Pohakuloa, Hawaii, USA
GRFO|IRISDMC|IU|49.6909|11.2203|100.94003823223396|39.40451685050516|384|Grafenberg, Germany
KIP|IRISDMC|IU|21.42|-158.0112|103.53712057237136|-72.59385437296933|110|Kipapa, Hawaii, USA
FURI|IRISDMC|IU|8.8952|38.6798|104.58748819442998|87.28694397392908|2570|Mt. Furi, Ethiopia
TAU|IRISDMC|II|-42.9099|147.3204|104.7842545779763|-157.3488598979189|132|Hobart, Tasmania, Australia
KONO|IRISDMC|IU|59.6491|9.5982|104.87613764795324|29.96904934737542|216|Kongsberg, Norway
KNTN|IRISDMC|IU|-2.7744|-171.7186|105.1070349755969|-101.11981465009762|20|Kanton, Kiritibati
MSVF|IRISDMC|II|-17.7448|178.0528|105.69583180190025|-119.80864201008717|801.1|Monasavu, Fiji
ALE|IRISDMC|II|82.5033|-62.35|109.35544763035061|0.12269534415405775|60|Alert, NU, Canada
FUNA|IRISDMC|IU|-8.5259|179.1966|109.95912700254277|-111.13991270387763|20|Funafuti, Tuvalu
ANTO|IRISDMC|IU|39.8681|32.79356|111.19108222536356|54.94788324359652|1080|Ankara, Turkey
IL31|IRISDMC|IM|64.7714|-146.886597|111.50173322633904|-27.084324289943023|419|ILAR Array, Site 31, Eielson, AK, USA
JOHN|IRISDMC|IU|16.7329|-169.5292|111.69892601310262|-81.61291003386634|2|Johnston Island, USA
COLA|IRISDMC|IU|64.873599|-147.8616|111.92819162689023|-27.111217445396008|200|College Outpost, Alaska, USA
KIEV|IRISDMC|IU|50.7012|29.2242|111.9501895334179|43.01862990323428|180|Kiev, Ukraine
KDAK|IRISDMC|II|57.7828|-152.5835|112.12978310727395|-35.13397136471855|152|Kodiak Island, Alaska, USA
MSEY|IRISDMC|II|-4.6737|55.4792|112.98210113128086|108.29502792711787|475|Mahe, Seychelles
KBS|IRISDMC|IU|78.9154|11.9385|113.53841050727443|11.69649553295059|90|Ny-Alesund, Spitzbergen, Norway
KEV|IRISDMC|IU|69.7565|27.0035|115.15535717929936|22.47385675256477|100|Kevo, Finland
RAYN|IRISDMC|II|23.5225|45.5032|116.3013040397825|75.59497215250342|631|Ar Rayn, Saudi Arabia
OBN|IRISDMC|II|55.1146|36.5674|117.2196884287563|39.328590912863305|160|Obninsk, Russia
LVZ|IRISDMC|II|67.8979|34.6514|117.68163964682859|24.889471734998576|630|Lovozero, Russia
KIV|IRISDMC|II|43.9553|42.6863|119.32192916936786|52.559205489365894|1054|Kislovodsk, Russia
GNI|IRISDMC|IU|40.148|44.741|120.11377243669195|57.19307850950326|1609|Garni, Armenia
NWAO|IRISDMC|IU|-32.9277|117.239|120.21928429260693|-179.53734170040002|380|Narrogin, Australia
TARA|IRISDMC|IU|1.3549|172.9229|120.48899024499617|-105.50508599849657|20|Tarawa Island, Republic of Kiribati
MIDW|IRISDMC|IU|28.2154|-177.3697|122.34186388993906|-72.14189468576701|9|Midway Island, USA
HNR|IRISDMC|IU|-9.4387|159.9475|124.5869229850892|-124.91392051502244|100|Honiara, Solomon Islands
CTAO|IRISDMC|IU|-20.0882|146.2545|125.04359546992818|-145.61672300509895|357|Charters Towers, Australia
ADK|IRISDMC|IU|51.8823|-176.6842|125.06370784036973|-43.77876698870894|130|Adak, Aleutian Islands, Alaska
DGAR|IRISDMC|II|-7.4121|72.4525|125.08659886378683|122.16330329601436|1|Diego Garcia, Chagos Islands, Indian Ocean
UOSS|IRISDMC|II|24.9453|56.2042|126.02394103411723|77.50530327926917|284.4|Univ. of Sharjah, Sharjah, United Arab Emirates
KWAJ|IRISDMC|II|8.8019|167.613|128.73793203061143|-100.73466626575872|0|Kwajalein Atoll, Pacific Ocean
BILL|IRISDMC|IU|68.0653|166.4531|129.3888910534322|-21.62763007866222|320|Bilibino, Russia
ARU|IRISDMC|II|56.4293|58.5615|129.5165728807105|37.5322308755328|260|Arti, Russia
ABKT|IRISDMC|II|37.9304|58.1189|130.0780525355485|61.67566224047831|678|Alibek, Turkmenistan
WRAB|IRISDMC|II|-19.9336|134.36|130.20248179699138|-158.1536732719206|366|Tennant Creek, NT, Australia
MBWA|IRISDMC|IU|-21.159|119.7313|131.90368836100626|-176.27933862088605|190|Marble Bar, Western Australia
PMG|IRISDMC|IU|-9.4047|147.1597|133.2664388900747|-136.72246745601072|90|Port Moresby, New Guinea
WAKE|IRISDMC|IU|19.2834|166.652|133.76614096091097|-88.416126282932|8|Wake Island
TIXI|IRISDMC|IU|71.6341|128.8667|134.71112554381415|-5.334386021006829|40|Tiksi, Russia
COCO|IRISDMC|II|-12.1901|96.8349|136.42513050684556|151.0977906538052|1|West Island, Cocos (Keeling) Islands
BRVK|IRISDMC|II|53.0581|70.2828|136.90621366425853|39.6352468874365|330|Borovoye, Kazakhstan
KBL|IRISDMC|IU|34.5408|69.0432|138.635115426941|67.25025865139139|1920|Kabul, Afghanistan
PET|IRISDMC|IU|53.0233|158.6499|139.49433827507855|-38.1914829601948|110|Petropavlovsk, Russia
MA2|IRISDMC|IU|59.5756|150.77|139.8188432855844|-26.03848496681044|337|Magadan, Russia
PALK|IRISDMC|II|7.2728|80.7022|140.58910694712355|113.11621479183387|460|Pallekele, Sri Lanka
NIL|IRISDMC|II|33.6506|73.2686|142.09779148618844|68.85300227235315|629|Nilore, Pakistan
AAK|IRISDMC|II|42.6375|74.4942|142.33871596113136|54.08015919647276|1633.1|Ala Archa, Kyrgyzstan
KURK|IRISDMC|II|50.7154|78.6202|142.55029554363887|40.02501811678606|184|Kurchatov, Kazakhstan
YAK|IRISDMC|IU|62.031|129.6805|143.78051581977576|-10.220601359617573|110|Yakutsk, Russia
MAKZ|IRISDMC|IU|46.808|81.977|146.18333416199536|44.55773437600131|600|Makanchi, Kazakhstan
KAPI|IRISDMC|II|-5.0142|119.7517|148.0035162422706|-174.3740644553656|300|Kappang, Sulawesi, Indonesia
GUMO|IRISDMC|IU|13.5893|144.8684|150.58326819230788|-111.20234808934023|142|Guam, Mariana Islands
WMQ|IRISDMC|IC|43.81411|87.70448|151.09927454495175|46.48382621324172|850|Urumqi, Xinjiang Province, China
YSS|IRISDMC|IU|46.9587|142.7604|151.33418840387074|-38.58467936943434|150|Yuzhno Sakhalinsk, Russia
